63,619
71,305
106,224
172,140
239,104
338,69
476,42
601,31
756,24
970,19
1163,32
1223,55
1233,92
1229,107
1215,128
1194,155
1158,180
1131,204
1124,240
1145,273
1178,298
1212,302
1278,292
1302,284
1329,264
1368,232
1395,193
1401,143
1401,111
1404,82
1432,39
1468,22
1517,20
1571,19
1621,17
1661,31
1690,59
1724,99
1740,140
1755,234
1759,356
1760,523
1764,585
1756,663
1723,710
1677,721
1575,721
1374,723
1006,738
607,746
594,686
557,667
489,665
440,702
422,753
164,766
106,732
82,693
64,618

170,547
186,311
221,266
263,238
319,212
392,186
479,174
632,151
756,141
885,131
987,126
1018,137
1010,155
988,171
980,214
997,267
1032,313
1081,353
1132,396
1204,413
1280,415
1367,381
1440,320
1491,234
1500,171
1523,106
1589,105
1633,146
1654,206
1656,266
1656,333
1657,398
1654,474
1649,575
1632,588
1570,598
738,622
705,576
672,522
637,513
569,509
493,520
416,540
378,576
354,616
334,629
274,635
223,631
183,603
170,547
