64,365
193,357

196,414
69,418

68,459
194,463

200,488
65,488

67,529
200,534

200,566
70,579

200,588
89,632

216,601
111,665

239,616
131,706

155,730
256,635

282,643
180,749

201,775
310,657

336,678
230,794

271,810
362,687

386,697
309,822

345,835
406,707

431,714
386,844

419,851
456,725

449,858
478,728

506,727
493,860

528,868
544,733

580,736
565,868

628,872
638,743

705,873
719,747

779,877
796,752

847,881
864,762

912,880
920,768

975,884
978,773

1003,773
1027,883

1068,883
1025,765

1039,743
1100,874

1043,735
1139,857

1051,716
1177,831

1060,688
1187,809

1074,659
1192,768

1205,744
1095,637

1111,608
1215,711

1231,685
1132,582

1166,560
1246,659

1279,645
1212,540

1245,526
1301,631

1328,630
1296,526

1348,632
1340,523

1373,631
1376,524

1401,635
1417,531

1426,650
1459,547

1446,669
1503,562

1464,689
1535,595

1480,714
1560,618

1496,745
1584,650

1514,772
1608,683

1537,798
1625,699

1565,827
1637,711

1598,859
1646,710

1640,871
1653,711

1679,875
1665,710

1716,860
1671,699

1666,684
1762,820

1670,665
1774,789

1668,643
1788,722

1669,625
1793,645

1670,592
1787,603

1791,578
1670,567

1669,525
1787,525

1788,484
1668,481

1669,447
1791,444

1787,395
1667,397

1667,368
1788,355

1663,343
1785,308

1655,319
1784,263

1641,309
1779,211

1613,307
1724,179

1574,299
1685,152

1541,297
1616,154

1501,289
1550,148

1469,278
1494,149

1410,266
1429,149

1353,255
1368,142

1296,246
1309,142

1247,235
1262,137

1204,226
1214,138

1164,216
1169,139

1130,208
1134,135

1091,199
1094,131

1056,194
1063,128

1026,194
1029,138

987,193
985,131

961,198
960,134

944,202
944,132

908,215
906,126

868,222
863,134

833,233
822,126

795,246
779,119

745,122
763,254

746,262
710,121

675,121
721,272

707,288
641,146

623,177
680,309

656,338
603,188

588,195
616,346

580,336
562,192

542,190
540,331

507,326
510,187

474,316
494,177

439,309
485,159

411,287
473,150

385,266
462,124

364,256
426,115

347,255
379,110

330,255
349,111

321,112
309,253

291,250
297,109

259,252
258,113

235,250
232,111

215,251
208,108

204,258
166,112

132,121
199,271

198,283
90,169

198,291
78,217

71,252
192,303

191,319
64,293

65,331
192,338
