287,26
115,72
81,218
100,320
160,375
224,404
252,459
241,522
195,561
130,581
82,624
57,692
66,808
100,853
180,884
775,888
866,830
916,769
969,716
1066,696
1178,698
1291,768
1370,864
1609,879
1729,826
1773,673
1651,517
1648,456
1776,249
1779,93
1746,56
1629,38
988,208
889,276
822,272
790,215
739,173
452,51
388,31
286,25

242,184
261,267
349,305
406,349
425,472
383,580
299,668
238,699
203,721
186,755
204,771
269,772
722,774
770,731
877,646
1040,582
1230,594
1356,668
1434,755
1532,762
1574,746
1590,713
1514,558
1494,487
1529,413
1617,256
1586,217
1044,342
860,380
817,376
718,315
399,185
347,171
282,165
251,167
243,185
